run,sample_id,image,question,ground_truth,prediction,task,difficulty,split,ood_type,error_type
base-direct,test_000003_q01,images/test/test_000003.png,Which object is immediately above the red circle?,red rectangle,rectangle,above_below,2,test,ID,spatial_inversion
base-direct,ood_background_000013_q04,images/ood_background/ood_background_000013.png,Which object is immediately below the red triangle?,red circle,circle,above_below,2,ood_background,background,spatial_inversion
base-direct,ood_count_000000_q04,images/ood_count/ood_count_000000.png,Which object is immediately below the green rectangle?,green triangle,red triangle,above_below,2,ood_count,count,spatial_inversion
base-direct,ood_occlusion_000000_q04,images/ood_occlusion/ood_occlusion_000000.png,Which object is immediately below the red circle?,green triangle,triangle,above_below,2,ood_occlusion,occlusion,spatial_inversion
base-direct,ood_palette_000000_q01,images/ood_palette/ood_palette_000000.png,Which object is immediately below the purple rectangle?,cyan rectangle,triangle,above_below,2,ood_palette,palette,spatial_inversion
base-direct,ood_shape_000000_q04,images/ood_shape/ood_shape_000000.png,Which object is immediately below the blue hexagon?,yellow diamond,yellow hexagon,above_below,2,ood_shape,shape,spatial_inversion
base-direct,test_000005_q04,images/test/test_000005.png,Which object is between the yellow triangle and the blue triangle?,yellow rectangle,green rectangle,between,3,test,ID,object_confusion
base-direct,test_000001_q03,images/test/test_000001.png,Which object is between the green triangle and the blue circle?,blue rectangle,square,between,3,test,ID,other
base-direct,ood_count_000002_q04,images/ood_count/ood_count_000002.png,Which object is between the yellow circle and the red circle?,yellow rectangle,green triangle,between,3,ood_count,count,object_confusion
base-direct,ood_count_000011_q04,images/ood_count/ood_count_000011.png,Which object is between the red circle and the blue rectangle?,green circle,green square,between,3,ood_count,count,other
base-direct,ood_occlusion_000001_q01,images/ood_occlusion/ood_occlusion_000001.png,Which object is between the green triangle and the red rectangle?,blue triangle,green circle,between,3,ood_occlusion,occlusion,object_confusion
base-direct,ood_occlusion_000032_q03,images/ood_occlusion/ood_occlusion_000032.png,Which object is between the green circle and the yellow triangle?,green triangle,white square,between,3,ood_occlusion,occlusion,other
base-direct,ood_palette_000001_q01,images/ood_palette/ood_palette_000001.png,Which object is between the pink triangle and the purple rectangle?,cyan rectangle,green rectangle,between,3,ood_palette,palette,object_confusion
base-direct,ood_palette_000010_q01,images/ood_palette/ood_palette_000010.png,Which object is between the cyan circle and the purple triangle?,purple rectangle,square,between,3,ood_palette,palette,other
base-direct,ood_shape_000012_q02,images/ood_shape/ood_shape_000012.png,Which object is between the yellow diamond and the green diamond?,yellow star,star,between,3,ood_shape,shape,object_confusion
base-direct,test_000034_q01,images/test/test_000034.png,"Which object is closer to the center of the image, the blue triangle or the green circle?",green circle,blue triangle,center_proximity,2,test,ID,distance_reasoning_error
base-direct,ood_background_000001_q04,images/ood_background/ood_background_000001.png,"Which object is closer to the center of the image, the green rectangle or the green circle?",green rectangle,green circle,center_proximity,2,ood_background,background,distance_reasoning_error
base-direct,ood_count_000006_q03,images/ood_count/ood_count_000006.png,"Which object is closer to the center of the image, the blue rectangle or the yellow triangle?",yellow triangle,blue rectangle,center_proximity,2,ood_count,count,distance_reasoning_error
base-direct,ood_occlusion_000017_q03,images/ood_occlusion/ood_occlusion_000017.png,"Which object is closer to the center of the image, the yellow circle or the blue rectangle?",yellow circle,blue rectangle,center_proximity,2,ood_occlusion,occlusion,distance_reasoning_error
base-direct,ood_palette_000002_q03,images/ood_palette/ood_palette_000002.png,"Which object is closer to the center of the image, the orange rectangle or the pink circle?",orange rectangle,pink circle,center_proximity,2,ood_palette,palette,distance_reasoning_error
base-direct,ood_shape_000004_q01,images/ood_shape/ood_shape_000004.png,"Which object is closer to the center of the image, the red hexagon or the yellow diamond?",red hexagon,yellow diamond,center_proximity,2,ood_shape,shape,distance_reasoning_error
base-direct,test_000002_q03,images/test/test_000002.png,How many objects are above the red triangle?,4,2,counting,2,test,ID,counting_error
base-direct,ood_background_000003_q04,images/ood_background/ood_background_000003.png,How many circle objects are in the image?,3,2,counting,1,ood_background,background,counting_error
base-direct,ood_count_000008_q01,images/ood_count/ood_count_000008.png,How many objects are left of the green rectangle?,7,3,counting,2,ood_count,count,counting_error
base-fewshot,test_000002_q01,images/test/test_000002.png,Which object is immediately below the yellow triangle?,blue triangle,red triangle,above_below,2,test,ID,spatial_inversion
base-fewshot,ood_background_000022_q04,images/ood_background/ood_background_000022.png,Which object is immediately below the green circle?,yellow rectangle,yellow circle,above_below,2,ood_background,background,spatial_inversion
base-fewshot,ood_count_000000_q04,images/ood_count/ood_count_000000.png,Which object is immediately below the green rectangle?,green triangle,red circle,above_below,2,ood_count,count,spatial_inversion
base-fewshot,ood_occlusion_000002_q03,images/ood_occlusion/ood_occlusion_000002.png,Which object is immediately above the yellow rectangle?,yellow circle,blue triangle,above_below,2,ood_occlusion,occlusion,spatial_inversion
base-fewshot,ood_palette_000000_q01,images/ood_palette/ood_palette_000000.png,Which object is immediately below the purple rectangle?,cyan rectangle,red triangle,above_below,2,ood_palette,palette,spatial_inversion
base-fewshot,ood_shape_000000_q04,images/ood_shape/ood_shape_000000.png,Which object is immediately below the blue hexagon?,yellow diamond,yellow triangle,above_below,2,ood_shape,shape,spatial_inversion
base-fewshot,test_000005_q04,images/test/test_000005.png,Which object is between the yellow triangle and the blue triangle?,yellow rectangle,green rectangle,between,3,test,ID,object_confusion
base-fewshot,test_000057_q01,images/test/test_000057.png,Which object is between the red circle and the yellow triangle?,red rectangle,red square,between,3,test,ID,other
base-fewshot,ood_background_000000_q02,images/ood_background/ood_background_000000.png,Which object is between the green rectangle and the yellow rectangle?,red circle,red square,between,3,ood_background,background,other
base-fewshot,ood_count_000002_q04,images/ood_count/ood_count_000002.png,Which object is between the yellow circle and the red circle?,yellow rectangle,green rectangle,between,3,ood_count,count,object_confusion
base-fewshot,ood_count_000011_q04,images/ood_count/ood_count_000011.png,Which object is between the red circle and the blue rectangle?,green circle,green square,between,3,ood_count,count,other
base-fewshot,ood_occlusion_000001_q01,images/ood_occlusion/ood_occlusion_000001.png,Which object is between the green triangle and the red rectangle?,blue triangle,green circle,between,3,ood_occlusion,occlusion,object_confusion
base-fewshot,ood_occlusion_000038_q01,images/ood_occlusion/ood_occlusion_000038.png,Which object is between the yellow circle and the blue circle?,green rectangle,green square,between,3,ood_occlusion,occlusion,other
