baseline,candidate,transition,sample_id,image,question,ground_truth,baseline_prediction,candidate_prediction,task,difficulty,split,ood_type
base-direct,base-fewshot,improved,ood_background_000013_q04,images/ood_background/ood_background_000013.png,Which object is immediately below the red triangle?,red circle,circle,red circle,above_below,2,ood_background,background
base-direct,base-fewshot,improved,ood_count_000011_q01,images/ood_count/ood_count_000011.png,Which object is immediately above the red rectangle?,blue triangle,triangle,blue triangle,above_below,2,ood_count,count
base-direct,base-fewshot,improved,ood_count_000046_q02,images/ood_count/ood_count_000046.png,Which object is immediately above the blue circle?,green triangle,triangle,green triangle,above_below,2,ood_count,count
base-direct,base-fewshot,improved,ood_occlusion_000000_q04,images/ood_occlusion/ood_occlusion_000000.png,Which object is immediately below the red circle?,green triangle,triangle,green triangle,above_below,2,ood_occlusion,occlusion
base-direct,base-fewshot,improved,ood_occlusion_000016_q04,images/ood_occlusion/ood_occlusion_000016.png,Which object is immediately above the yellow triangle?,red circle,yellow circle,red circle,above_below,2,ood_occlusion,occlusion
base-direct,base-fewshot,improved,ood_occlusion_000047_q03,images/ood_occlusion/ood_occlusion_000047.png,Which object is immediately below the green rectangle?,blue triangle,triangle,blue triangle,above_below,2,ood_occlusion,occlusion
base-direct,base-fewshot,improved,ood_palette_000015_q03,images/ood_palette/ood_palette_000015.png,Which object is immediately above the cyan rectangle?,purple circle,purple rectangle,purple circle,above_below,2,ood_palette,palette
base-direct,base-fewshot,improved,ood_palette_000024_q02,images/ood_palette/ood_palette_000024.png,Which object is immediately above the orange triangle?,purple rectangle,circle,purple rectangle,above_below,2,ood_palette,palette
base-direct,base-fewshot,improved,test_000032_q02,images/test/test_000032.png,Which object is immediately above the red triangle?,green triangle,circle,green triangle,above_below,2,test,ID
base-direct,base-fewshot,improved,test_000093_q04,images/test/test_000093.png,Which object is immediately below the green rectangle?,red circle,triangle,red circle,above_below,2,test,ID
base-direct,base-fewshot,improved,ood_occlusion_000008_q03,images/ood_occlusion/ood_occlusion_000008.png,Which object is between the red rectangle and the red circle?,blue rectangle,triangle,blue rectangle,between,3,ood_occlusion,occlusion
base-direct,base-fewshot,improved,ood_occlusion_000042_q01,images/ood_occlusion/ood_occlusion_000042.png,Which object is between the yellow rectangle and the green rectangle?,red triangle,triangle,red triangle,between,3,ood_occlusion,occlusion
base-direct,base-fewshot,improved,ood_occlusion_000044_q04,images/ood_occlusion/ood_occlusion_000044.png,Which object is between the green circle and the green triangle?,yellow circle,yellow triangle,yellow circle,between,3,ood_occlusion,occlusion
base-direct,base-fewshot,improved,ood_occlusion_000046_q01,images/ood_occlusion/ood_occlusion_000046.png,Which object is between the red rectangle and the yellow triangle?,red circle,circle,red circle,between,3,ood_occlusion,occlusion
base-direct,base-fewshot,improved,ood_palette_000016_q01,images/ood_palette/ood_palette_000016.png,Which object is between the pink rectangle and the pink circle?,orange circle,rectangle,orange circle,between,3,ood_palette,palette
base-direct,base-fewshot,improved,ood_shape_000019_q02,images/ood_shape/ood_shape_000019.png,Which object is between the green star and the red hexagon?,blue star,yellow star,blue star,between,3,ood_shape,shape
base-direct,base-fewshot,improved,test_000001_q03,images/test/test_000001.png,Which object is between the green triangle and the blue circle?,blue rectangle,square,blue rectangle,between,3,test,ID
base-direct,base-fewshot,improved,test_000042_q04,images/test/test_000042.png,Which object is between the yellow rectangle and the green triangle?,green rectangle,square,green rectangle,between,3,test,ID
base-direct,base-fewshot,improved,test_000055_q01,images/test/test_000055.png,Which object is between the blue rectangle and the red rectangle?,red circle,green rectangle,red circle,between,3,test,ID
base-direct,base-fewshot,improved,test_000085_q02,images/test/test_000085.png,Which object is between the green rectangle and the green triangle?,red triangle,square,red triangle,between,3,test,ID
base-direct,base-fewshot,improved,ood_count_000024_q03,images/ood_count/ood_count_000024.png,"Which object is closer to the center of the image, the green triangle or the red circle?",red circle,green triangle,red circle,center_proximity,2,ood_count,count
base-direct,base-fewshot,improved,ood_occlusion_000027_q02,images/ood_occlusion/ood_occlusion_000027.png,"Which object is closer to the center of the image, the blue rectangle or the red rectangle?",red rectangle,blue rectangle,red rectangle,center_proximity,2,ood_occlusion,occlusion
